CASE_NUMBER,DATE,BLOCK,COMMUNITY_AREA,AGE,SEX,RACE,INCIDENT_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
JF454181,10/29/2022 02:25:00 PM,1900 W 17TH ST,LOWER WEST SIDE,0-19,M,WWH,FIRST DEGREE MURDER,10,7,14,STREET,41.8592031,-87.67382094,POINT (-87.673820941301 41.859203095858)
JF453901,10/29/2022 10:32:00 AM,1100 N WALLER AVE,AUSTIN,20-29,M,BLK,FIRST DEGREE MURDER,10,7,10,STREET,41.9019131,-87.76793094,POINT (-87.767930941301 41.901913095858)
JF453685,10/29/2022 05:30:00 AM,3500 W SUNNYSIDE AVE,ALBANY PARK,20-29,M,WWH,AGGRAVATED - HANDGUN,10,7,5,VEHICLE NON-COMMERCIAL,41.9624005,-87.71741,POINT (-87.71741 41.9624005)
JF453607,10/29/2022 03:18:00 AM,2800 W 23RD ST,SOUTH LAWNDALE,0-19,M,WWH,FIRST DEGREE MURDER,10,7,3,STREET,41.84974165,-87.69889535,POINT (-87.69889534612 41.849741654142)
JF453596,10/29/2022 02:15:00 AM,3100 S HALSTED ST,BRIDGEPORT,20-29,M,WBH,AGGRAVATED - HANDGUN,10,7,2,ALLEY,41.8373969,-87.64668906,POINT (-87.646689058699 41.837396904142)
JF453662,10/29/2022 01:30:00 AM,3100 N LARAMIE AVE,BELMONT CRAGIN,20-29,M,BLK,AGGRAVATED - HANDGUN,10,7,1,STREET,41.93731963,-87.75612318,POINT (-87.75612317588 41.937319630858)
JF453482,10/28/2022 11:54:00 PM,100 E 116TH ST,WEST PULLMAN,0-19,M,BLK,AGGRAVATED - HANDGUN,10,6,23,ALLEY,41.68263835,-87.61961465,POINT (-87.61961465388 41.682638345858)
JF453506,10/28/2022 10:45:00 PM,5100 S ROCKWELL ST,GAGE PARK,0-19,M,WWH,AGGRAVATED - HANDGUN,10,6,22,STREET,41.7996369,-87.68950906,POINT (-87.689509058699 41.799636904142)
JF453445,10/28/2022 10:40:00 PM,9700 S LUELLA AVE,SOUTH DEERING,30-39,M,BLK,AGGRAVATED - HANDGUN,10,6,22,SIDEWALK,41.7163305,-87.56868,POINT (-87.56868 41.7163305)
JF453323,10/28/2022 08:32:00 PM,5200 W FERDINAND ST,AUSTIN,50-59,M,BLK,AGGRAVATED - HANDGUN,10,6,20,STREET,41.88863165,-87.75687465,POINT (-87.75687465388 41.888631654142)
JF453268,10/28/2022 07:32:00 PM,7600 S GREEN ST,AUBURN GRESHAM,0-19,M,BLK,AGGRAVATED - HANDGUN,10,6,19,SIDEWALK,41.75608835,-87.64597535,POINT (-87.64597534612 41.756088345858)
JF453093,10/28/2022 03:00:00 PM,7100 S JEFFERY BLVD,SOUTH SHORE,30-39,M,BLK,AGGRAVATED - HANDGUN,10,6,15,PARKING LOT / GARAGE (NON RESIDENTIAL),41.76561165,-87.57571465,POINT (-87.57571465388 41.765611654142)
JF452652,10/28/2022 11:34:00 AM,10900 S HALSTED ST,MORGAN PARK,0-19,M,BLK,FIRST DEGREE MURDER,10,6,11,AUTO,41.69529835,-87.64217465,POINT (-87.64217465388 41.695298345858)
JF452247,10/28/2022 01:01:00 AM,8500 S COMMERCIAL AVE,SOUTH CHICAGO,20-29,M,BLK,AGGRAVATED - HANDGUN,10,6,1,SIDEWALK,41.74005165,-87.55177535,POINT (-87.55177534612 41.740051654142)
JF452247,10/28/2022 01:01:00 AM,8500 S COMMERCIAL AVE,SOUTH CHICAGO,20-29,M,BLK,AGGRAVATED - HANDGUN,10,6,1,SIDEWALK,41.74005165,-87.55177535,POINT (-87.55177534612 41.740051654142)
JF452247,10/28/2022 01:01:00 AM,8500 S COMMERCIAL AVE,SOUTH CHICAGO,20-29,M,BLK,AGGRAVATED - HANDGUN,10,6,1,SIDEWALK,41.74005165,-87.55177535,POINT (-87.55177534612 41.740051654142)
JF452019,10/27/2022 07:08:00 PM,8400 S BENNETT AVE,AVALON PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,10,5,19,STREET,41.7413431,-87.57833906,POINT (-87.578339058699 41.741343095858)
JF451837,10/27/2022 04:48:00 PM,6500 S EBERHART AVE,WOODLAWN,20-29,F,BLK,AGGRAVATED - HANDGUN,10,5,16,ALLEY,41.77623165,-87.61341535,POINT (-87.61341534612 41.776231654142)
JF451811,10/27/2022 04:29:00 PM,6300 S WOLCOTT AVE,WEST ENGLEWOOD,20-29,M,BLK,AGGRAVATED - HANDGUN,10,5,16,STREET,41.77808038,-87.67113413,POINT (-87.671134125301 41.778080378858)
JF451680,10/27/2022 03:12:00 PM,300 E 43RD ST,GRAND BOULEVARD,20-29,M,BLK,AGGRAVATED - HANDGUN,10,5,15,STREET,41.81731967,-87.61667855,POINT (-87.616678547471 41.817319668947)
JF450843,10/26/2022 10:04:00 PM,1000 N LA SALLE DR,NEAR NORTH SIDE,20-29,F,WHI,AGGRAVATED - HANDGUN,10,4,22,APARTMENT,41.90048165,-87.63255465,POINT (-87.63255465388 41.900481654142)
JF450775,10/26/2022 08:44:00 PM,7700 S VERNON AVE,GREATER GRAND CROSSING,0-19,M,BLK,FIRST DEGREE MURDER,10,4,20,STREET,41.7526475,-87.61403498,POINT (-87.614034977 41.752647502)
JF450765,10/26/2022 08:15:00 PM,2600 W POTOMAC AVE,WEST TOWN,0-19,M,BLK,FIRST DEGREE MURDER,10,4,20,APARTMENT,41.9042905,-87.69265,POINT (-87.69265 41.9042905)
JF450721,10/26/2022 07:53:00 PM,7000 N GREENVIEW AVE,ROGERS PARK,20-29,M,BLK,FIRST DEGREE MURDER,10,4,19,STREET,42.0106831,-87.66782094,POINT (-87.667820941301 42.010683095858)
JF450471,10/26/2022 04:53:00 PM,800 E 82ND ST,CHATHAM,20-29,F,BLK,FIRST DEGREE MURDER,10,4,16,STREET,41.7464131,-87.60335094,POINT (-87.603350941301 41.746413095858)
JF449584,10/26/2022 01:07:00 AM,2000 E 83RD ST,SOUTH CHICAGO,30-39,M,BLK,AGGRAVATED - HANDGUN,10,4,1,SIDEWALK,41.7439769,-87.57358094,POINT (-87.573580941301 41.743976904142)
JF449158,10/25/2022 05:22:00 PM,2500 S CALIFORNIA BLVD,SOUTH LAWNDALE,20-29,M,BLK,AGGRAVATED - HANDGUN,10,3,17,STREET,41.84655835,-87.69528535,POINT (-87.69528534612 41.846558345858)
JF448785,10/25/2022 01:18:00 PM,4600 S LAKE SHORE DR NB,UPTOWN,30-39,UNKNOWN,BLK,FIRST DEGREE MURDER,10,3,13,STREET,41.96651305,-87.64732171,POINT (-87.647321705 41.966513048)
JF448785,10/25/2022 01:18:00 PM,4600 S LAKE SHORE DR NB,UPTOWN,20-29,F,BLK,FIRST DEGREE MURDER,10,3,13,STREET,41.96651305,-87.64732171,POINT (-87.647321705 41.966513048)
JF448579,10/25/2022 10:43:00 AM,2300 W 72ND ST,CHICAGO LAWN,20-29,F,BLK,AGGRAVATED - HANDGUN,10,3,10,STREET,41.7632731,-87.68299906,POINT (-87.682999058699 41.763273095858)
JF448105,10/25/2022 12:55:00 AM,4500 S WOOD ST,NEW CITY,0-19,M,WWH,AGGRAVATED - HANDGUN,10,3,0,SIDEWALK,41.8110105,-87.66976,POINT (-87.66976 41.8110105)
JF447935,10/24/2022 08:33:00 PM,6100 S ARTESIAN AVE,CHICAGO LAWN,0-19,M,BLK,AGGRAVATED - HANDGUN,10,2,20,STREET,41.7808905,-87.68507,POINT (-87.68507 41.7808905)
JF447922,10/24/2022 08:05:00 PM,4300 W MONROE ST,WEST GARFIELD PARK,40-49,F,BLK,AGGRAVATED - HANDGUN,10,2,20,SIDEWALK,41.87994835,-87.73476465,POINT (-87.73476465388 41.879948345858)
JF447295,10/24/2022 01:01:00 PM,700 E 131ST ST,RIVERDALE,0-19,M,BLK,AGGRAVATED - HANDGUN,10,2,13,CHA PARKING LOT / GROUNDS,41.6567505,-87.6039,POINT (-87.6039 41.6567505)
JF447120,10/24/2022 11:17:00 AM,600 W HARRISON ST,NEAR WEST SIDE,30-39,M,BLK,FIRST DEGREE MURDER,10,2,11,STREET,41.87503967,-87.64359855,POINT (-87.643598547471 41.875039668947)
JF447096,10/24/2022 10:48:00 AM,8500 S YATES BLVD,SOUTH CHICAGO,20-29,M,BLK,AGGRAVATED - HANDGUN,10,2,10,SIDEWALK,41.7401469,-87.56648906,POINT (-87.566489058699 41.740146904142)
JF446623,10/24/2022 01:29:00 AM,5800 S JUSTINE ST,WEST ENGLEWOOD,30-39,M,BLK,FIRST DEGREE MURDER,10,2,1,STREET,41.78803165,-87.66291465,POINT (-87.66291465388 41.788031654142)
JF446619,10/24/2022 01:14:00 AM,3200 W 30TH ST,SOUTH LAWNDALE,30-39,M,WWH,FIRST DEGREE MURDER,10,2,1,STREET,41.8396231,-87.70693906,POINT (-87.706939058699 41.839623095858)
JF446609,10/24/2022 12:49:00 AM,4100 W 26TH ST,SOUTH LAWNDALE,20-29,M,WWH,AGGRAVATED - HANDGUN,10,2,0,STREET,41.8447931,-87.72961906,POINT (-87.729619058699 41.844793095858)
JF446450,10/23/2022 09:13:00 PM,4300 N WHIPPLE ST,IRVING PARK,50-59,M,WWH,FIRST DEGREE MURDER,10,1,21,PORCH,41.96125967,-87.70427855,POINT (-87.704278547471 41.961259668947)
JF446438,10/23/2022 09:10:00 PM,6600 S GREENWOOD AVE,WOODLAWN,20-29,M,BLK,AGGRAVATED - HANDGUN,10,1,21,APARTMENT,41.77442835,-87.59999535,POINT (-87.59999534612 41.774428345858)
JF446347,10/23/2022 07:27:00 PM,2400 W POPE JOHN PAUL II DR,BRIGHTON PARK,40-49,F,WWH,AGGRAVATED - HANDGUN,10,1,19,SIDEWALK,41.81536165,-87.68719535,POINT (-87.68719534612 41.815361654142)
JF446347,10/23/2022 07:27:00 PM,2400 W POPE JOHN PAUL II DR,BRIGHTON PARK,20-29,M,WBH,AGGRAVATED - HANDGUN,10,1,19,SIDEWALK,41.81536165,-87.68719535,POINT (-87.68719534612 41.815361654142)
JF446325,10/23/2022 07:12:00 PM,8300 S ELLIS AVE,CHATHAM,50-59,M,BLK,AGGRAVATED - HANDGUN,10,1,19,STREET,41.7419205,-87.60028,POINT (-87.60028 41.7419205)
JF446351,10/23/2022 06:30:00 PM,6400 S CALUMET AVE,GREATER GRAND CROSSING,0-19,M,BLK,AGGRAVATED - HANDGUN,10,1,18,SIDEWALK,41.7782031,-87.61715094,POINT (-87.617150941301 41.778203095858)
JF446274,10/23/2022 06:13:00 PM,1400 S KARLOV AVE,NORTH LAWNDALE,20-29,M,WBH,ARMED - HANDGUN,10,1,18,ALLEY,41.8615569,-87.72708094,POINT (-87.727080941301 41.861556904142)
JF446253,10/23/2022 05:03:00 PM,7000 S EAST END AVE,SOUTH SHORE,40-49,M,BLK,AGGRAVATED - HANDGUN,10,1,17,RESIDENCE - YARD (FRONT / BACK),41.76682165,-87.58222465,POINT (-87.58222465388 41.766821654142)
JF445916,10/23/2022 01:00:00 PM,400 N LAWLER AVE,AUSTIN,0-19,M,BLK,AGGRAVATED - HANDGUN,10,1,13,ALLEY,41.8884069,-87.75212906,POINT (-87.752129058699 41.888406904142)
JF445523,10/23/2022 04:17:00 AM,4800 S INDIANA AVE,GRAND BOULEVARD,UNKNOWN,UNKNOWN,UNKNOWN,AGGRAVATED - HANDGUN,10,1,4,STREET,41.80566165,-87.62083465,POINT (-87.62083465388 41.805661654142)
JF445454,10/23/2022 04:14:00 AM,4900 S DR MARTIN LUTHER KING JR DR,GRAND BOULEVARD,20-29,M,BLK,FIRST DEGREE MURDER,10,1,4,ALLEY,41.8038069,-87.61634094,POINT (-87.616340941301 41.803806904142)
JF445443,10/23/2022 03:58:00 AM,4300 S KEDZIE AVE,BRIGHTON PARK,20-29,M,WWH,FIRST DEGREE MURDER,10,1,3,STREET,41.81412165,-87.70363465,POINT (-87.70363465388 41.814121654142)
JF445443,10/23/2022 03:58:00 AM,4300 S KEDZIE AVE,BRIGHTON PARK,20-29,M,WWH,FIRST DEGREE MURDER,10,1,3,STREET,41.81412165,-87.70363465,POINT (-87.70363465388 41.814121654142)
JF445443,10/23/2022 03:58:00 AM,4300 S KEDZIE AVE,BRIGHTON PARK,0-19,M,WWH,FIRST DEGREE MURDER,10,1,3,STREET,41.81412165,-87.70363465,POINT (-87.70363465388 41.814121654142)
JF445372,10/23/2022 02:30:00 AM,2300 S SAWYER AVE,SOUTH LAWNDALE,20-29,F,WWH,AGGRAVATED - HANDGUN,10,1,2,STREET,41.84993835,-87.70612465,POINT (-87.70612465388 41.849938345858)
JF445360,10/23/2022 02:06:00 AM,4600 W 87TH ST,ASHBURN,30-39,M,WWH,FIRST DEGREE MURDER,10,1,2,APARTMENT,41.73523967,-87.73807855,POINT (-87.738078547471 41.735239668947)
JF445345,10/23/2022 01:10:00 AM,3400 W WALNUT ST,EAST GARFIELD PARK,40-49,M,BLK,AGGRAVATED - HANDGUN,10,1,1,STREET,41.8847405,-87.71287,POINT (-87.71287 41.8847405)
JF445320,10/23/2022 12:50:00 AM,3800 N LINDER AVE,PORTAGE PARK,20-29,M,WWH,AGGRAVATED - HANDGUN,10,1,0,SIDEWALK,41.95125612,-87.7642615,POINT (-87.764261504471 41.951256122947)
JF445241,10/22/2022 11:36:00 PM,5000 S MAY ST,NEW CITY,30-39,M,WBH,AGGRAVATED - HANDGUN,10,7,23,RESIDENCE - PORCH / HALLWAY,41.8031431,-87.65375094,POINT (-87.653750941301 41.803143095858)
JF445208,10/22/2022 11:03:00 PM,700 W 76TH ST,AUBURN GRESHAM,30-39,M,BLK,AGGRAVATED - HANDGUN,10,7,23,APARTMENT,41.75617835,-87.64304535,POINT (-87.64304534612 41.756178345858)
JF445214,10/22/2022 10:00:00 PM,6700 S KEDZIE AVE,CHICAGO LAWN,50-59,M,BLK,AGGRAVATED - HANDGUN,10,7,22,PARK PROPERTY,41.7710569,-87.70284094,POINT (-87.702840941301 41.771056904142)
JF445152,10/22/2022 09:18:00 PM,7200 S PHILLIPS AVE,SOUTH SHORE,60-69,M,WWH,FIRST DEGREE MURDER,10,7,21,PARKING LOT,41.76345835,-87.56493465,POINT (-87.56493465388 41.763458345858)
JF445145,10/22/2022 09:11:00 PM,8300 S MARSHFIELD AVE,AUBURN GRESHAM,30-39,M,BLK,FIRST DEGREE MURDER,10,7,21,APARTMENT,41.7421605,-87.66431,POINT (-87.66431 41.7421605)
JF445094,10/22/2022 08:23:00 PM,500 N LECLAIRE AVE,AUSTIN,0-19,M,BLK,FIRST DEGREE MURDER,10,7,20,YARD,41.8899369,-87.75257094,POINT (-87.752570941301 41.889936904142)
JF445107,10/22/2022 08:20:00 PM,1200 S FAIRFIELD AVE,NORTH LAWNDALE,0-19,M,BLK,FIRST DEGREE MURDER,10,7,20,PUBLIC GRAMMAR SCHOOL,41.86576165,-87.69520535,POINT (-87.69520534612 41.865761654142)
JF445104,10/22/2022 07:04:00 PM,4400 W WILCOX ST,WEST GARFIELD PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,10,7,19,PARK PROPERTY,41.8781469,-87.73565094,POINT (-87.735650941301 41.878146904142)
JF444730,10/22/2022 02:25:00 PM,0 W 111TH ST,ROSELAND,0-19,M,BLK,AGGRAVATED - HANDGUN,10,7,14,STREET,41.69302967,-87.62468855,POINT (-87.624688547471 41.693029668947)
JF444574,10/22/2022 01:20:00 PM,3000 E 81ST ST,SOUTH CHICAGO,0-19,M,BLK,AGGRAVATED - HANDGUN,10,7,13,RESIDENCE - YARD (FRONT / BACK),41.7479269,-87.55038094,POINT (-87.550380941301 41.747926904142)
JF444148,10/22/2022 06:45:00 AM,5700 S PRINCETON AVE,ENGLEWOOD,0-19,M,BLK,AGGRAVATED - HANDGUN,10,7,6,STREET,41.79025017,-87.63324117,POINT (-87.63324117212 41.790250165858)
JF444014,10/22/2022 02:10:00 AM,200 N LEAVITT ST,NEAR WEST SIDE,40-49,F,BLK,AGGRAVATED - HANDGUN,10,7,2,STREET,41.8851869,-87.68153094,POINT (-87.681530941301 41.885186904142)
JF443964,10/22/2022 01:09:00 AM,2800 W 63RD ST,CHICAGO LAWN,30-39,M,BLK,AGGRAVATED - HANDGUN,10,7,1,GAS STATION,41.7785069,-87.69324094,POINT (-87.693240941301 41.778506904142)
JF443977,10/22/2022 01:05:00 AM,1600 W VAN BUREN ST,NEAR WEST SIDE,50-59,M,BLK,AGGRAVATED - HANDGUN,10,7,1,STREET,41.87625165,-87.66884535,POINT (-87.66884534612 41.876251654142)
JF443968,10/22/2022 12:59:00 AM,4000 S LANGLEY AVE,GRAND BOULEVARD,0-19,M,BLK,AGGRAVATED - HANDGUN,10,7,0,STREET,41.82125835,-87.61035535,POINT (-87.61035534612 41.821258345858)
JF443896,10/21/2022 11:38:00 PM,0 W 79TH ST,CHATHAM,20-29,M,BLK,AGGRAVATED - HANDGUN,10,6,23,GAS STATION,41.7503369,-87.62679906,POINT (-87.626799058699 41.750336904142)
JF443917,10/21/2022 11:00:00 PM,400 S WELLS ST,LOOP,50-59,M,BLK,AGGRAVATED - HANDGUN,10,6,23,STREET,41.87617165,-87.63397535,POINT (-87.63397534612 41.876171654142)
JF443857,10/21/2022 10:47:00 PM,2700 W FLOURNOY ST,EAST GARFIELD PARK,20-29,F,BLK,AGGRAVATED - HANDGUN,10,6,22,STREET,41.87260165,-87.69484535,POINT (-87.69484534612 41.872601654142)
JF443871,10/21/2022 10:46:00 PM,1600 E 70TH ST,SOUTH SHORE,20-29,M,BLK,AGGRAVATED - HANDGUN,10,6,22,STREET,41.7685031,-87.58347094,POINT (-87.583470941301 41.768503095858)
JF443893,10/21/2022 10:01:00 PM,7700 S MUSKEGON AVE,SOUTH SHORE,30-39,M,BLK,AGGRAVATED - HANDGUN,10,6,22,STREET,41.75385165,-87.55496465,POINT (-87.55496465388 41.753851654142)
JF443849,10/21/2022 09:57:00 PM,2600 S DR MARTIN LUTHER KING JR DR,DOUGLAS,0-19,M,BLK,AGGRAVATED - HANDGUN,10,6,21,STREET,41.8460731,-87.61808906,POINT (-87.618089058699 41.846073095858)
JF443822,10/21/2022 09:47:00 PM,0 E 37TH ST,DOUGLAS,30-39,M,BLK,AGGRAVATED - HANDGUN,10,6,21,STREET,41.82768835,-87.62338465,POINT (-87.62338465388 41.827688345858)
JF443822,10/21/2022 09:47:00 PM,0 E 37TH ST,DOUGLAS,30-39,M,BLK,AGGRAVATED - HANDGUN,10,6,21,STREET,41.82768835,-87.62338465,POINT (-87.62338465388 41.827688345858)
JF444237,10/21/2022 09:00:00 PM,8800 S CLYDE AVE,CALUMET HEIGHTS,20-29,F,BLK,AGGRAVATED - HANDGUN,10,6,21,STREET,41.73489165,-87.57382535,POINT (-87.57382534612 41.734891654142)
JF443752,10/21/2022 08:35:00 PM,900 S ALBANY AVE,EAST GARFIELD PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,10,6,20,SIDEWALK,41.87016835,-87.70276465,POINT (-87.70276465388 41.870168345858)
JF443781,10/21/2022 08:30:00 PM,2600 W POTOMAC AVE,WEST TOWN,0-19,M,BLK,AGGRAVATED - HANDGUN,10,6,20,STREET,41.9051631,-87.69394094,POINT (-87.693940941301 41.905163095858)
JF443773,10/21/2022 08:30:00 PM,3500 E 106TH ST,EAST SIDE,0-19,M,WWH,AGGRAVATED - HANDGUN,10,6,20,ALLEY,41.70244165,-87.53640465,POINT (-87.53640465388 41.702441654142)
JF443813,10/21/2022 08:02:00 PM,3500 S RICHMOND ST,BRIGHTON PARK,20-29,F,WHI,AGGRAVATED - HANDGUN,10,6,20,STREET,41.82960366,-87.69814553,POINT (-87.69814553388 41.829603656142)
JF443601,10/21/2022 06:13:00 PM,9100 S CHAPPEL AVE,CALUMET HEIGHTS,20-29,F,BLK,AGGRAVATED - HANDGUN,10,6,18,STREET,41.7293331,-87.57388094,POINT (-87.573880941301 41.729333095858)
JF443601,10/21/2022 06:13:00 PM,9100 S CHAPPEL AVE,CALUMET HEIGHTS,30-39,F,BLK,AGGRAVATED - HANDGUN,10,6,18,STREET,41.7293331,-87.57388094,POINT (-87.573880941301 41.729333095858)
JF442629,10/21/2022 02:20:00 AM,1500 S KEDVALE AVE,NORTH LAWNDALE,20-29,M,BLK,AGGRAVATED - HANDGUN,10,6,2,APARTMENT,41.8599531,-87.72875906,POINT (-87.728759058699 41.859953095858)
JF442601,10/21/2022 01:50:00 AM,1800 S BLUE ISLAND AVE,LOWER WEST SIDE,30-39,M,WWH,AGGRAVATED - HANDGUN,10,6,1,VEHICLE - COMMERCIAL,41.8569431,-87.66227094,POINT (-87.662270941301 41.856943095858)
JF442585,10/21/2022 01:16:00 AM,2500 E 79TH ST,SOUTH SHORE,30-39,F,BLK,FIRST DEGREE MURDER,10,6,1,AUTO,41.7512705,-87.56302,POINT (-87.56302 41.7512705)
JF442585,10/21/2022 01:16:00 AM,2500 E 79TH ST,SOUTH SHORE,20-29,M,BLK,FIRST DEGREE MURDER,10,6,1,AUTO,41.7512705,-87.56302,POINT (-87.56302 41.7512705)
JF442520,10/20/2022 10:49:00 PM,300 S HAMLIN BLVD,WEST GARFIELD PARK,20-29,M,WWH,AGGRAVATED - HANDGUN,10,5,22,STREET,41.87702967,-87.72068855,POINT (-87.720688547471 41.877029668947)
JF442180,10/20/2022 05:05:00 PM,7500 S UNION AVE,ENGLEWOOD,30-39,M,BLK,AGGRAVATED - HANDGUN,10,5,17,SIDEWALK,41.75843967,-87.64149855,POINT (-87.641498547471 41.758439668947)
JF442143,10/20/2022 04:52:00 PM,4400 S SHIELDS AVE,FULLER PARK,30-39,F,BLK,AGGRAVATED - HANDGUN,10,5,16,ALLEY,41.81278165,-87.63432465,POINT (-87.63432465388 41.812781654142)
JF441389,10/20/2022 05:46:00 AM,2900 E 126TH ST,SOUTH DEERING,30-39,M,BLK,FIRST DEGREE MURDER,10,5,5,PARKING LOT,41.6672731,-87.55270906,POINT (-87.552709058699 41.667273095858)
JF441364,10/20/2022 01:44:00 AM,12600 S UNION AVE,WEST PULLMAN,0-19,M,BLK,AGGRAVATED - HANDGUN,10,5,1,SIDEWALK,41.6642769,-87.63865094,POINT (-87.638650941301 41.664276904142)
JF441869,10/20/2022 12:00:00 AM,2100 E 71ST ST,SOUTH SHORE,20-29,M,BLK,AGGRAVATED - HANDGUN,10,5,0,STREET,41.7668731,-87.57309906,POINT (-87.573099058699 41.766873095858)
JF440813,10/19/2022 03:46:00 PM,800 S CALIFORNIA AVE,EAST GARFIELD PARK,40-49,M,BLK,AGGRAVATED - HANDGUN,10,4,15,ALLEY,41.87072165,-87.69543465,POINT (-87.69543465388 41.870721654142)
JF439950,10/18/2022 11:20:00 PM,10700 S DR MARTIN LUTHER KING JR DR,ROSELAND,40-49,F,BLK,AGGRAVATED - HANDGUN,10,3,23,STREET,41.69959967,-87.61354855,POINT (-87.613548547471 41.699599668947)
JF439526,10/18/2022 04:40:00 PM,2500 W ESTES AVE,WEST RIDGE,20-29,M,WWH,FIRST DEGREE MURDER,10,3,16,STREET,42.0099969,-87.69456906,POINT (-87.694569058699 42.009996904142)
JF439526,10/18/2022 04:40:00 PM,2500 W ESTES AVE,WEST RIDGE,0-19,M,BLK,FIRST DEGREE MURDER,10,3,16,STREET,42.0099969,-87.69456906,POINT (-87.694569058699 42.009996904142)
JF439231,10/18/2022 01:00:00 PM,4100 W MADISON ST,WEST GARFIELD PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,10,3,13,STREET,41.8810631,-87.72911094,POINT (-87.729110941301 41.881063095858)
JF439150,10/18/2022 08:44:00 AM,6300 S GREEN ST,ENGLEWOOD,30-39,M,BLK,AGGRAVATED - HANDGUN,10,3,8,STREET,41.77930967,-87.64599855,POINT (-87.645998547471 41.779309668947)
JF439598,10/18/2022 12:00:00 AM,9000 S DOBSON AVE,BURNSIDE,20-29,M,BLK,AGGRAVATED - HANDGUN,10,3,0,ALLEY,41.72995835,-87.59918535,POINT (-87.59918534612 41.729958345858)
JF439139,10/18/2022 12:00:00 AM,1600 N LOTUS AVE,AUSTIN,20-29,M,BLK,AGGRAVATED - HANDGUN,10,3,0,SIDEWALK,41.9110531,-87.76222906,POINT (-87.762229058699 41.911053095858)
JF439139,10/18/2022 12:00:00 AM,1600 N LOTUS AVE,AUSTIN,0-19,F,BLK,AGGRAVATED - HANDGUN,10,3,0,SIDEWALK,41.9110531,-87.76222906,POINT (-87.762229058699 41.911053095858)
JF438566,10/17/2022 09:50:00 PM,6300 N WESTERN AVE,WEST RIDGE,60-69,M,WHI,FIRST DEGREE MURDER,10,2,21,RETAIL STORE,41.9960969,-87.69025906,POINT (-87.690259058699 41.996096904142)
JF437409,10/17/2022 05:03:00 AM,10700 S BENSLEY AVE,SOUTH DEERING,20-29,M,BLK,FIRST DEGREE MURDER,10,2,5,AUTO,41.7009031,-87.56360906,POINT (-87.563609058699 41.700903095858)
JF437383,10/17/2022 03:01:00 AM,1900 S AVERS AVE,NORTH LAWNDALE,30-39,M,BLK,AGGRAVATED - HANDGUN,10,2,3,STREET,41.85347165,-87.72076465,POINT (-87.72076465388 41.853471654142)
JF437358,10/17/2022 01:44:00 AM,6700 S WESTERN AVE,CHICAGO LAWN,50-59,M,BLK,FIRST DEGREE MURDER,10,2,1,STREET,41.77096835,-87.68398535,POINT (-87.68398534612 41.770968345858)
JF437336,10/17/2022 12:49:00 AM,1500 E 62ND ST,WOODLAWN,40-49,M,BLK,FIRST DEGREE MURDER,10,2,0,STREET,41.7825169,-87.58740906,POINT (-87.587409058699 41.782516904142)
JF437318,10/16/2022 11:11:00 PM,400 W ONTARIO ST,NEAR NORTH SIDE,30-39,M,BLK,AGGRAVATED - HANDGUN,10,1,23,STREET,41.89319835,-87.63961535,POINT (-87.63961534612 41.893198345858)
JF437204,10/16/2022 07:45:00 PM,4100 W VAN BUREN ST,WEST GARFIELD PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,10,1,19,RESIDENCE - PORCH / HALLWAY,41.8748369,-87.72927094,POINT (-87.729270941301 41.874836904142)
JF437023,10/16/2022 05:49:00 PM,4300 W MONROE ST,WEST GARFIELD PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,10,1,17,STREET,41.87958165,-87.73402465,POINT (-87.73402465388 41.879581654142)
JF437023,10/16/2022 05:49:00 PM,4300 W MONROE ST,WEST GARFIELD PARK,30-39,M,BLK,AGGRAVATED - HANDGUN,10,1,17,STREET,41.87958165,-87.73402465,POINT (-87.73402465388 41.879581654142)
JF437023,10/16/2022 05:49:00 PM,4300 W MONROE ST,WEST GARFIELD PARK,30-39,M,BLK,AGGRAVATED - HANDGUN,10,1,17,STREET,41.87958165,-87.73402465,POINT (-87.73402465388 41.879581654142)
JF436916,10/16/2022 04:11:00 PM,6900 S PEORIA ST,ENGLEWOOD,20-29,M,BLK,FIRST DEGREE MURDER,10,1,16,STREET,41.7670269,-87.64702906,POINT (-87.647029058699 41.767026904142)
JF436723,10/16/2022 12:39:00 PM,4200 W ADAMS ST,WEST GARFIELD PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,10,1,12,SIDEWALK,41.87760165,-87.73130465,POINT (-87.73130465388 41.877601654142)
JF436593,10/16/2022 11:06:00 AM,4600 S ELLIS AVE,KENWOOD,20-29,M,BLK,AGGRAVATED - OTHER FIREARM,10,1,11,STREET,41.81043165,-87.60143465,POINT (-87.60143465388 41.810431654142)
JF436283,10/16/2022 02:42:00 AM,1500 S FAIRFIELD AVE,NORTH LAWNDALE,20-29,M,BLK,AGGRAVATED - HANDGUN,10,1,2,STREET,41.86116165,-87.69411465,POINT (-87.69411465388 41.861161654142)
