CASE_NUMBER,DATE,BLOCK,COMMUNITY_AREA,AGE,SEX,RACE,INCIDENT_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
JF525868,12/29/2022 02:15:00 AM,0 E 71ST ST,GREATER GRAND CROSSING,0-19,M,BLK,AGGRAVATED - HANDGUN,12,5,2,STREET,41.76575835,-87.62518535,POINT (-87.62518534612 41.765758345858)
JF525868,12/29/2022 02:15:00 AM,0 E 71ST ST,GREATER GRAND CROSSING,0-19,M,BLK,AGGRAVATED - HANDGUN,12,5,2,STREET,41.76575835,-87.62518535,POINT (-87.62518534612 41.765758345858)
JF525801,12/28/2022 10:55:00 PM,100 S KILPATRICK AVE,AUSTIN,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,22,STREET,41.8791631,-87.74235094,POINT (-87.742350941301 41.879163095858)
JF525783,12/28/2022 10:52:00 PM,7700 S HERMITAGE AVE,AUBURN GRESHAM,40-49,M,BLK,AGGRAVATED - HANDGUN,12,4,22,SIDEWALK,41.75316165,-87.66686465,POINT (-87.66686465388 41.753161654142)
JF525753,12/28/2022 09:49:00 PM,5100 W MADISON ST,AUSTIN,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION,41.88010165,-87.75255465,POINT (-87.75255465388 41.880101654142)
JF525753,12/28/2022 09:49:00 PM,5100 W MADISON ST,AUSTIN,30-39,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION,41.88010165,-87.75255465,POINT (-87.75255465388 41.880101654142)
JF525753,12/28/2022 09:49:00 PM,5100 W MADISON ST,AUSTIN,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION,41.88010165,-87.75255465,POINT (-87.75255465388 41.880101654142)
JF525753,12/28/2022 09:49:00 PM,5100 W MADISON ST,AUSTIN,40-49,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION,41.88010165,-87.75255465,POINT (-87.75255465388 41.880101654142)
JF525690,12/28/2022 07:48:00 PM,7800 S BENNETT AVE,SOUTH SHORE,0-19,M,BLK,AGGRAVATED - HANDGUN,12,4,19,STREET,41.75378967,-87.57846855,POINT (-87.578468547471 41.753789668947)
JF525690,12/28/2022 07:48:00 PM,7800 S BENNETT AVE,SOUTH SHORE,0-19,M,BLK,AGGRAVATED - HANDGUN,12,4,19,STREET,41.75378967,-87.57846855,POINT (-87.578468547471 41.753789668947)
JF525645,12/28/2022 07:31:00 PM,8700 S SANGAMON ST,AUBURN GRESHAM,60-69,M,BLK,AGGRAVATED - HANDGUN,12,4,19,STREET,41.7337705,-87.64739,POINT (-87.64739 41.7337705)
JF525511,12/28/2022 05:04:00 PM,600 W 123RD ST,WEST PULLMAN,30-39,M,BLK,FIRST DEGREE MURDER,12,4,17,STREET,41.67112038,-87.63849075,POINT (-87.638490751301 41.671120379858)
JF524675,12/27/2022 11:39:00 PM,800 N KARLOV AVE,HUMBOLDT PARK,0-19,M,WWH,AGGRAVATED - HANDGUN,12,3,23,STREET,41.8953705,-87.72842,POINT (-87.72842 41.8953705)
JF524652,12/27/2022 11:00:00 PM,4900 N KILBOURN AVE,ALBANY PARK,0-19,M,WWH,AGGRAVATED - HANDGUN,12,3,23,SIDEWALK,41.97036835,-87.73992465,POINT (-87.73992465388 41.970368345858)
JF524587,12/27/2022 09:00:00 PM,6100 S MORGAN ST,ENGLEWOOD,20-29,M,BLK,AGGRAVATED - HANDGUN,12,3,21,APARTMENT,41.78259165,-87.65030535,POINT (-87.65030534612 41.782591654142)
JF524587,12/27/2022 09:00:00 PM,6100 S MORGAN ST,ENGLEWOOD,20-29,M,BLK,AGGRAVATED - HANDGUN,12,3,21,APARTMENT,41.78259165,-87.65030535,POINT (-87.65030534612 41.782591654142)
JF524539,12/27/2022 07:47:00 PM,5200 S CALUMET AVE,WASHINGTON PARK,20-29,M,BLK,AGGRAVATED - HANDGUN,12,3,19,STREET,41.8004731,-87.61785906,POINT (-87.617859058699 41.800473095858)
JF524512,12/27/2022 07:16:00 PM,12000 S YALE AVE,WEST PULLMAN,30-39,F,BLK,AGGRAVATED - HANDGUN,12,3,19,RESIDENCE,41.67594835,-87.62802465,POINT (-87.62802465388 41.675948345858)
JF524496,12/27/2022 06:39:00 PM,6500 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,20-29,F,BLK,AGGRAVATED - HANDGUN,12,3,18,SIDEWALK,41.7757769,-87.61593906,POINT (-87.615939058699 41.775776904142)
JF524267,12/27/2022 03:58:00 PM,5500 S HERMITAGE AVE,WEST ENGLEWOOD,30-39,F,BLK,AGGRAVATED - HANDGUN,12,3,15,ALLEY,41.79280165,-87.66879535,POINT (-87.66879534612 41.792801654142)
JF523847,12/27/2022 10:15:00 AM,700 N RIDGEWAY AVE,HUMBOLDT PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,12,3,10,VEHICLE NON-COMMERCIAL,41.89453165,-87.72053535,POINT (-87.72053534612 41.894531654142)
JF523847,12/27/2022 10:15:00 AM,700 N RIDGEWAY AVE,HUMBOLDT PARK,30-39,M,BLK,AGGRAVATED - HANDGUN,12,3,10,VEHICLE NON-COMMERCIAL,41.89453165,-87.72053535,POINT (-87.72053534612 41.894531654142)
JF523530,12/26/2022 10:10:00 PM,500 W 72ND ST,ENGLEWOOD,0-19,M,BLK,AGGRAVATED - HANDGUN,12,2,22,SIDEWALK,41.76416967,-87.63800855,POINT (-87.638008547471 41.764169668947)
JF523551,12/26/2022 09:22:00 PM,2200 W DIVISION ST,WEST TOWN,0-19,M,BLK,AGGRAVATED - HANDGUN,12,2,21,HOSPITAL BUILDING / GROUNDS,41.9034631,-87.68327094,POINT (-87.683270941301 41.903463095858)
JF523087,12/26/2022 01:30:00 PM,5000 S DREXEL BLVD,KENWOOD,30-39,F,BLK,AGGRAVATED - HANDGUN,12,2,13,APARTMENT,41.80285165,-87.60404535,POINT (-87.60404534612 41.802851654142)
JF522773,12/26/2022 04:21:00 AM,3100 W 54TH ST,GAGE PARK,20-29,M,WWH,AGGRAVATED - HANDGUN,12,2,4,VEHICLE NON-COMMERCIAL,41.79529165,-87.70111465,POINT (-87.70111465388 41.795291654142)
JF522750,12/26/2022 02:50:00 AM,3300 W WARREN BLVD,EAST GARFIELD PARK,30-39,F,BLK,AGGRAVATED DOMESTIC BATTERY - HANDGUN,12,2,2,APARTMENT,41.88228967,-87.71028855,POINT (-87.710288547471 41.882289668947)
JF522749,12/26/2022 02:47:00 AM,7500 S DANTE AVE,SOUTH SHORE,20-29,M,BLK,AGGRAVATED - HANDGUN,12,2,2,STREET,41.7586931,-87.58997906,POINT (-87.589979058699 41.758693095858)
JF522729,12/26/2022 01:08:00 AM,11400 S DR MARTIN LUTHER KING JR DR,ROSELAND,40-49,M,BLK,ATTEMPT ARMED - HANDGUN,12,2,1,STREET,41.6862531,-87.61357906,POINT (-87.613579058699 41.686253095858)
JF523434,12/25/2022 11:26:00 PM,800 S KOLMAR AVE,WEST GARFIELD PARK,20-29,F,BLK,FIRST DEGREE MURDER,12,1,23,STREET,41.8698569,-87.73853094,POINT (-87.738530941301 41.869856904142)
JF522639,12/25/2022 10:25:00 PM,10300 S PROSPECT AVE,BEVERLY,20-29,F,BLK,FIRST DEGREE MURDER,12,1,22,STREET,41.7065731,-87.66247906,POINT (-87.662479058699 41.706573095858)
JF522639,12/25/2022 10:25:00 PM,10300 S PROSPECT AVE,BEVERLY,20-29,M,BLK,FIRST DEGREE MURDER,12,1,22,STREET,41.7065731,-87.66247906,POINT (-87.662479058699 41.706573095858)
JF522618,12/25/2022 09:38:00 PM,7500 S NORMAL AVE,GREATER GRAND CROSSING,20-29,M,BLK,AGGRAVATED - HANDGUN,12,1,21,APARTMENT,41.75747835,-87.63697535,POINT (-87.63697534612 41.757478345858)
JF522501,12/25/2022 05:40:00 PM,7200 S FRANCISCO AVE,CHICAGO LAWN,30-39,M,BLK,FIRST DEGREE MURDER,12,1,17,HOUSE,41.7617331,-87.69497094,POINT (-87.694970941301 41.761733095858)
JF521978,12/25/2022 12:01:00 AM,4000 E 134TH ST,HEGEWISCH,20-29,M,WWH,AGGRAVATED - HANDGUN,12,1,0,VEHICLE NON-COMMERCIAL,41.65183835,-87.52782535,POINT (-87.52782534612 41.651838345858)
JF521979,12/24/2022 11:52:00 PM,900 W 115TH ST,WEST PULLMAN,30-39,M,BLK,AGGRAVATED - HANDGUN,12,7,23,STREET,41.6854031,-87.64694906,POINT (-87.646949058699 41.685403095858)
