Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
22CP006966,P006067690|P006067692|P006067693|P006067694|P006067695|P006067696,05/04/2022,POLICE,07/01/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
22CP006966,P006067690|P006067692|P006067693|P006067694|P006067695|P006067696,05/04/2022,POLICE,07/01/2022 09:00:00 AM,7844 S TRUMBULLMANU ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
22CP006967,P006017397|P006017398|P006017399|P006017400|P006017401|P006017402,05/04/2022,POLICE,07/01/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP008235,P005816668|P005816669,05/27/2022,POLICE,08/05/2022 01:00:00 PM,10625 S PERRY ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"FANNIE MAE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7007970633651,-87.625578292702,POINT (-87.625578292702 41.7007970633651)
22CP008231,P005816622|P005816623,06/01/2022,POLICE,08/05/2022 01:00:00 PM,235 W 104TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.705154895878806,-87.62950106077976,POINT (-87.62950106077976 41.705154895878806)
22CP008602,P006068271|P006068272|P006068273|P006068274|P006068275|P006068276,06/13/2022,POLICE,08/05/2022 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITI BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
22CP008601,P006067749|P006067749|P006067750|P006067750|P006067751|P006067751|P006067752|P006067752|P006067753|P006067753|P006067754|P006067754,06/13/2022,POLICE,08/05/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
22CP008600,P006067755|P006067756|P006067757|P006067758|P006067759|P006067760,06/13/2022,POLICE,08/05/2022 09:00:00 AM,3527 W 58TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.787823300913594,-87.71183855914205,POINT (-87.71183855914205 41.787823300913594)
22CP008218,P005998341|P005998342,06/14/2022,POLICE,10/07/2022 01:00:00 PM,4926 W HUBBARD ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST COMPANY, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.88876733041007,-87.74914130473827,POINT (-87.74914130473827 41.88876733041007)
22CP008865,P006064161|P006064162|P006064163|P006064307,06/19/2022,POLICE,09/02/2022 09:00:00 AM,613 W 46TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TR CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80974713196133,-87.64127493428768,POINT (-87.64127493428768 41.80974713196133)
22CP008631,P006068328|P006068329|P006068330|P006068346|P006068347|P006068348,06/20/2022,POLICE,08/05/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP008852,P006088333|P006088334|P006088335|P006088336|P006088337|P006088338,07/07/2022,POLICE,09/02/2022 09:00:00 AM,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80125558654073,-87.64274049287219,POINT (-87.64274049287219 41.80125558654073)
22CP009262,P006068247|P006068248|P006068249|P006068250|P006068251|P006068252,07/12/2022,POLICE,09/02/2022 09:00:00 AM,232 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77279938907583,-87.63139915385585,POINT (-87.63139915385585 41.77279938907583)
22CP009262,P006068247|P006068248|P006068249|P006068250|P006068251|P006068252,07/12/2022,POLICE,09/02/2022 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
22CP009257,P006068265|P006068266|P006068267|P006068268|P006068269|P006068270,07/12/2022,POLICE,09/02/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP010821,P005471149|P005471150,08/02/2022,POLICE,10/07/2022 01:00:00 PM,4314 W WORTHINGTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
22CP010825,P005470994|P005470995,08/02/2022,POLICE,04/18/2023 01:00:00 PM,4726 W ARTHINGTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.869672057740026,-87.7435407674973,POINT (-87.7435407674973 41.869672057740026)
22CP010821,P005471149|P005471150,08/02/2022,POLICE,10/07/2022 01:00:00 PM,4314 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.875277088922125,-87.73349207882707,POINT (-87.73349207882707 41.875277088922125)
22CP010825,P005470994|P005470995,08/02/2022,POLICE,04/18/2023 01:00:00 PM,4728 W ARTHINGTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.869670868656115,-87.74361616424231,POINT (-87.74361616424231 41.869670868656115)
22CP010501,P006067989|P006067990|P006067991|P006067992|P006067993|P006067994,08/03/2022,POLICE,10/07/2022 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
22CP010502,P006068041|P006068042|P006068043|P006068044|P006068045|P006068046,08/03/2022,POLICE,10/07/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP011782,P006068059|P006068060|P006068091|P006068092|P006068093|P006068094,09/07/2022,POLICE,11/04/2022 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
22CP010809,P006098047|P006098048|P006098051,09/08/2022,POLICE,11/04/2022 09:00:00 AM,613 W 46TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TR CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80974713196133,-87.64127493428768,POINT (-87.64127493428768 41.80974713196133)
22CP011771,P005471184|P005471185,09/12/2022,POLICE,11/04/2022 01:00:00 PM,4411 W HURON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
22CP011767,P005471158|P005471159,09/12/2022,POLICE,11/04/2022 01:00:00 PM,3916 W WILCOX ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87900145182319,-87.72389675505356,POINT (-87.72389675505356 41.87900145182319)
22CP011771,P005471184|P005471185,09/12/2022,POLICE,11/04/2022 01:00:00 PM,4711 W HURON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.89308327494958,-87.74395542865904,POINT (-87.74395542865904 41.89308327494958)
22CP011364,P005816566|P005816567,09/16/2022,POLICE,11/04/2022 01:00:00 PM,9851 S DOBSON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"FEDERAL NATIONAL MORTGAGE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.71518910323826,-87.59804578036076,POINT (-87.59804578036076 41.71518910323826)
22CP012518,P005990130|P005990131|P005990132|P005990133|P005990134|P005990135,10/04/2022,POLICE,12/02/2022 09:00:00 AM,6208 S MORGAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE REO GROUP LLC, ",Default - Liable by prove-up,6000.00,0.00,1038.05,1703.28,0.00,8781.33,0.00,8781.33,41.78117319861422,-87.6498292763393,POINT (-87.6498292763393 41.78117319861422)
22CP012913,P006096732|P006096733|P006096734|P006096735|P006096751|P006096752,10/04/2022,POLICE,12/02/2022 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
22CP014530,P006097055|P006097056|P006097057|P006097058|P006097059|P006097060,11/01/2022,POLICE,01/06/2023 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
22CP014158,P006012753|P006012754|P006012755|P006012756|P006012757|P006012758,11/08/2022,POLICE,01/06/2023 09:00:00 AM,6208 S MORGAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE REO GROUP LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78117319861422,-87.6498292763393,POINT (-87.6498292763393 41.78117319861422)
21CP017514,P005867590|P005867591|P005867592|P005867593|P005867594|P005867595,11/24/2022,POLICE,04/01/2022 09:00:00 AM,613 W 46TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TR CO, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80974713196133,-87.64127493428768,POINT (-87.64127493428768 41.80974713196133)
21CP017514,P005867590|P005867591|P005867592|P005867593|P005867594|P005867595,11/24/2022,POLICE,04/01/2022 09:00:00 AM,613 E 46TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TR CO, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
23CP000640,P006097111|P006097112|P006097113|P006097114|P006097115|P006097500,12/05/2022,POLICE,02/03/2023 09:00:00 AM,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7718689046202,-87.68178960948111,POINT (-87.68178960948111 41.7718689046202)
23CP000640,P006097111|P006097112|P006097113|P006097114|P006097115|P006097500,12/05/2022,POLICE,02/03/2023 09:00:00 AM,2322 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.772088573643224,-87.68187448504722,POINT (-87.68187448504722 41.772088573643224)
