Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
21CP011312,P005867054|P005867055|P005867056|P005867058,07/26/2021,POLICE,09/03/2021 09:00:00 AM,4817 S WINCHESTER ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"HSBC BANK USA NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80616128450363,-87.67326874635528,POINT (-87.67326874635528 41.80616128450363)
21CP011312,P005867054|P005867055|P005867056|P005867058,07/26/2021,POLICE,09/03/2021 09:00:00 AM,4817 S WINCHESTER AV ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"HSBC BANK USA NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80616128450363,-87.67326874635528,POINT (-87.67326874635528 41.80616128450363)
21CP011561,P005963016|P005963017|P005963018|P005963019|P005963020|P005963021,07/27/2021,POLICE,09/03/2021 09:00:00 AM,5549 S SHIELDS ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA, ",Default - Liable by prove-up,6000.00,0.00,81.97,0.00,0.00,6121.97,6121.97,0.00,41.79274407469707,-87.63396944575877,POINT (-87.63396944575877 41.79274407469707)
21CP014277,P005471057|P005471058,08/18/2021,POLICE,11/05/2021 01:00:00 PM,3916 W WILCOX ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87900145182319,-87.72389675505356,POINT (-87.72389675505356 41.87900145182319)
21CP012857,P006041856|P006064531|P006064532|P006064533|P006064534|P006064535,08/26/2021,POLICE,11/05/2021 09:00:00 AM,5409 S PRINCETON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FEDERAL NATL MTG ASSN, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79594254809458,-87.63289007118881,POINT (-87.63289007118881 41.79594254809458)
21CP013009,P005901859,09/03/2021,POLICE,11/05/2021 01:00:00 PM,4926 W HUBBARD ,13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST COMPANY, ",Default - Liable by prove-up,2000.00,0.00,56.84,575.28,0.00,2672.12,2672.12,0.00,41.88876733041007,-87.74914130473827,POINT (-87.74914130473827 41.88876733041007)
21CP014453,P005816923,09/13/2021,POLICE,11/05/2021 01:00:00 PM,5744 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.,"NATIONWIDE REO LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.789278213232336,-87.6488212668545,POINT (-87.6488212668545 41.789278213232336)
21CP014170,P005964385|P005964386|P005964387|P005964388|P005964389|P005964390,09/13/2021,POLICE,11/05/2021 09:00:00 AM,7229 S OAKLEY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.76202758099606,-87.6804718070585,POINT (-87.6804718070585 41.76202758099606)
21CP015594,P005817051|P005817052,09/30/2021,POLICE,12/03/2021 01:00:00 PM,11616 S LAFAYETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.68200591302822,-87.6241677832346,POINT (-87.6241677832346 41.68200591302822)
21CP015357,P006022236|P006022237|P006022238|P006022239|P006022240|P006022241,10/11/2021,POLICE,12/03/2021 09:00:00 AM,7229 S OAKLEY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.76202758099606,-87.6804718070585,POINT (-87.6804718070585 41.76202758099606)
21CP017058,P006023205|P006023206|P006023207|P006023208|P006023209|P006023210,11/15/2021,POLICE,01/07/2022 09:00:00 AM,7229 S OAKLEY ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.76202758099606,-87.6804718070585,POINT (-87.6804718070585 41.76202758099606)
22CP000712,P006023040|P006023041|P006023042|P006023043|P006023044|P006023045,12/13/2021,POLICE,02/04/2022 09:00:00 AM,3419 W 82ND ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
22CP000715,P005964228|P005964229|P005964230|P006023013|P006023014|P006023015,12/13/2021,POLICE,02/04/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP000722,P006023007|P006023008|P006023009|P006023010|P006023011|P006023012,12/13/2021,POLICE,02/04/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
